node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
1,2577.1548,100.0,347.66788,0.42698398,-0.77377546,1.6916275,1.9085720777511597,1.6220871899276972,0.25369783118367195,0.0,2.5391636192798615,2.4799898,-2.5060878,5.507468,6.539344787597656,0
2,2577.1548,50.0,347.66788,0.4902553,-0.7745371,1.7426878,1.9690654277801514,3.916967749595642,0.1656929375603795,0.0,4.125162869691849,2.5917857,-2.4988883,5.566066,6.628942966461182,0
3,2583.3428,2600.0,298.2295,-0.07018263,-0.64049125,0.2767194,0.7012333869934082,0.14200169313699007,0.5638897716999054,0.0,0.527456983923912,-0.46623236,-2.763321,1.4349098,3.1483774185180664,0
4,2583.3428,2550.0,298.2295,-0.07400536,-0.6433244,0.29314053,0.710826575756073,0.14733288623392582,0.5756465792655945,0.0,0.5358537212014198,-0.49714074,-2.757969,1.5068071,3.1818249225616455,0
5,2583.3428,2500.0,298.2295,-0.07795703,-0.646211,0.30975187,0.7208412885665894,0.1541091836988926,0.5873539447784424,0.0,0.5440581664443016,-0.5168014,-2.751644,1.5975009,3.2234508991241455,0
6,2583.3428,2450.0,298.2295,-0.08196935,-0.64915884,0.32656235,0.7312790751457214,0.16157021187245846,0.5992765352129936,0.0,0.5525912195444107,-0.5455414,-2.7437217,1.6974919,3.2721710205078125,0
7,2583.3428,2400.0,298.2295,-0.08608813,-0.65216786,0.3435846,0.7421485781669617,0.16582830995321274,0.6105174645781517,0.0,0.5616479888558388,-0.57289463,-2.7378683,1.7788802,3.3148975372314453,0
8,2583.3428,2350.0,298.2295,-0.09028784,-0.65522724,0.3608215,0.7534366250038147,0.1706624198704958,0.6212084293365479,0.0,0.5703129842877388,-0.59393376,-2.7377036,1.843317,3.353445291519165,0
9,2583.3428,2300.0,298.2295,-0.09456415,-0.65833855,0.37829274,0.765151858329773,0.1756150908768177,0.6317553147673607,0.0,0.578280083835125,-0.61218166,-2.7342277,1.8922044,3.3810064792633057,0
10,2583.3428,2250.0,298.2295,-0.098976746,-0.6615054,0.39599794,0.7773030996322632,0.181168420240283,0.6423819735646248,0.0,0.5856012180447578,-0.63744813,-2.723862,1.92999,3.398621082305908,0
11,2583.3428,2200.0,298.2295,-0.10342637,-0.6647255,0.41395885,0.7898853421211243,0.1892421469092369,0.6525192633271217,0.0,0.5918198004364967,-0.6587621,-2.7126224,2.0136316,3.4419472217559814,0
12,2583.3428,2150.0,298.2295,-0.10798365,-0.6679861,0.43217224,0.8028939366340637,0.19729274325072765,0.6615028008818626,0.0,0.5970941931009293,-0.664958,-2.7060802,2.0995274,3.488990545272827,0
13,2583.3428,2100.0,298.2295,-0.11261942,-0.67129016,0.4506619,0.8163392543792725,0.20790312625467777,0.6705204173922539,0.0,0.6023297980427742,-0.7238617,-2.705022,2.216089,3.5710182189941406,0
