node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
1,2577.1548,100.0,347.66788,-0.07735235,-0.82391095,1.688335,1.880236029624939,2.3798416182398796,0.2224317528307438,0.0,2.774980202317238,0.41652092,-2.8808608,6.2958913,6.936216354370117,0
2,2577.1548,50.0,347.66788,-0.06074189,-0.8245765,1.7293112,1.9168028831481934,3.881884902715683,0.14338682568632066,0.0,5.555523008108139,0.50524104,-2.8796897,6.397498,7.033908367156982,0
3,2583.3428,2600.0,298.2295,-0.07178041,-0.6924903,0.30879128,0.7616083025932312,0.1419187169522047,0.6301748901605606,0.0,0.5882024466991425,-0.48462355,-3.1743507,1.7313442,3.6481387615203857,0
4,2583.3428,2550.0,298.2295,-0.07556298,-0.69565785,0.32696894,0.7723718881607056,0.14743039198219776,0.6428571864962578,0.0,0.597764290869236,-0.4996223,-3.170065,1.8241519,3.691404104232788,0
5,2583.3428,2500.0,298.2295,-0.079331435,-0.6988871,0.3453672,0.7835912108421326,0.15354160591959953,0.6554080173373222,0.0,0.6069330945611,-0.5209572,-3.1660175,1.9107286,3.7344274520874023,0
6,2583.3428,2450.0,298.2295,-0.08316831,-0.7021753,0.36399108,0.7952714562416077,0.15766561403870583,0.6670669913291931,0.0,0.6159753054380417,-0.5430239,-3.1593614,1.9951422,3.775848627090454,0
7,2583.3428,2400.0,298.2295,-0.08699375,-0.70551574,0.38284212,0.8073961138725281,0.16264674626290798,0.6783201768994331,0.0,0.6243108808994293,-0.55646163,-3.1545386,2.089169,3.8243157863616943,0
8,2583.3428,2350.0,298.2295,-0.09089333,-0.7089153,0.4019463,0.8199898600578308,0.16734936833381653,0.6900724172592163,0.0,0.6331836581230164,-0.5797895,-3.1496723,2.1710196,3.8690977096557617,0
9,2583.3428,2300.0,298.2295,-0.0947898,-0.7123774,0.4212889,0.8330371975898743,0.17420982010662556,0.7010809183120728,0.0,0.6409718319773674,-0.59952104,-3.143699,2.2601,3.9179484844207764,0
10,2583.3428,2250.0,298.2295,-0.09869109,-0.7158872,0.44090003,0.8465383648872375,0.17993073165416718,0.7108139172196388,0.0,0.6477164179086685,-0.6158797,-3.1385689,2.3497639,3.968792200088501,0
11,2583.3428,2200.0,298.2295,-0.10263205,-0.71944225,0.4607787,0.8604925870895386,0.18357164040207863,0.7200519368052483,0.0,0.6546730250120163,-0.6315858,-3.1329048,2.4324806,4.016335964202881,0
12,2583.3428,2150.0,298.2295,-0.106543355,-0.7230399,0.48093635,0.8748931288719177,0.18750132620334625,0.7291185930371284,0.0,0.661482460796833,-0.6552085,-3.126608,2.5247946,4.07180118560791,0
13,2583.3428,2100.0,298.2295,-0.110482365,-0.7266825,0.5013788,0.8897496461868286,0.19289809837937355,0.7378262206912041,0.0,0.6674584448337555,-0.66866535,-3.120833,2.6105485,4.1233086585998535,0
14,2583.3428,2050.0,298.2295,-0.11441517,-0.7303679,0.52212685,0.9050660729408264,0.19632807560265064,0.7456164956092834,0.0,0.6731139570474625,-0.6868671,-3.116563,2.6953273,4.17726469039917,0
