step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.0020185457542538643,1.1524114995609125e-08,-4.259881734469673e-06
Step-Preload,0.00019999995129182935,0.008014174178242683,-8.177215931937099e-05,-7.70184415159747e-05
Step-Preload,0.00029999989783391356,0.017866725102066994,-1.626251105335541e-05,-1.8142194676329382e-05
Step-Preload,0.0003999998443759978,0.03145882487297058,-8.027339936234057e-05,-8.888891898095608e-05
Step-Preload,0.000499999790918082,0.0486755445599556,-1.3111323823977727e-05,-2.9255634217406623e-05
Step-Preload,0.0005999997374601662,0.06940492987632751,-7.587783329654485e-05,-0.00010068528354167938
Step-Preload,0.0006999996840022504,0.09353768080472946,-7.609898148075445e-06,-4.315200203564018e-05
Step-Preload,0.0007999996305443347,0.12096759676933289,-6.903187750140205e-05,-0.00011781632201746106
Step-Preload,0.0008999995770864189,0.15159106254577637,-1.5318903479055734e-07,-6.434795795939863e-05
Step-Preload,0.0009999994654208422,0.18530748784542084,-6.246002158150077e-05,-0.00014338211622089148
Step-Preload,0.0010999994119629264,0.2220185399055481,4.745501883007819e-06,-9.415012027602643e-05
Step-Preload,0.001204699045047164,0.2635650932788849,-5.902614429942332e-05,-0.00017819607455749065
Step-Preload,0.0013046989915892482,0.3061160445213318,6.529001439048443e-06,-0.00013148902507964522
Step-Preload,0.0014046989381313324,0.35137248039245605,-5.926176891080104e-05,-0.00021477267728187144
Step-Preload,0.0015046987682580948,0.3992502689361572,4.985717623640085e-06,-0.00016674671496730298
Step-Preload,0.0016046985983848572,0.4496627748012543,-6.053902689018287e-05,-0.00024692146689631045
Step-Preload,0.0017046984285116196,0.5025252103805542,4.835854269913398e-06,-0.0001939394132932648
Step-Preload,0.001804698258638382,0.5577549338340759,-5.959708505542949e-05,-0.00026764380163513124
Step-Preload,0.0019046980887651443,0.6152709722518921,7.169630862335907e-06,-0.0002071611670544371
Step-Preload,0.0020046979188919067,0.6749945282936096,-4.0896396967582405e-05,-0.00025867344811558723
Step-Preload,0.002104697749018669,0.7368480563163757,4.190455001662485e-05,-0.00017615038086660206
Step-Preload,0.0022046975791454315,0.8007557988166809,-1.6865786164999008e-05,-0.0002319955383427441
Step-Preload,0.002304697409272194,0.8666433095932007,4.904907473246567e-05,-0.00016106416296679527
Step-Preload,0.0024046972393989563,0.9344377517700195,8.191735105356202e-05,-0.0001224807492690161
Step-Preload,0.0025046970695257187,1.0040674209594727,0.00020819366909563541,9.149213838099968e-06
Step-Preload,0.002604696899652481,1.0754625797271729,0.0006248442223295569,0.0004298830754123628
Step-Preload,0.0027046967297792435,1.148554801940918,0.001044937875121832,0.0008508128230459988
Step-Preload,0.002804696559906006,1.2232778072357178,0.0016798465512692928,0.0014816700713708997
Step-Preload,0.0029046963900327682,1.2995672225952148,0.0037277054507285357,0.0035202421713620424
Step-Preload,0.0030046964529901743,1.377360463142395,0.004382538143545389,0.004160426557064056
Step-Preload,0.0031046965159475803,1.456598162651062,0.006120726931840181,0.0058792270720005035
Step-Preload,0.0032046963460743427,1.5372209548950195,0.006158608011901379,0.005892044398933649
Step-Preload,0.003304696176201105,1.6191731691360474,0.006524165626615286,0.006228910759091377
Step-Preload,0.0034046960063278675,1.7023990154266357,0.006745296996086836,0.00641887541860342
Step-Preload,0.00350469583645463,1.7868480682373047,0.006993994582444429,0.006636475678533316
Step-Preload,0.0036046956665813923,1.8724647760391235,0.006759360432624817,0.0063693164847791195
Step-Preload,0.0037046954967081547,1.9592030048370361,0.007558808196336031,0.007140034809708595
