step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.0020185585599392653,1.1787836484700165e-08,-4.229887963447254e-06
Step-Preload,0.00019999995129182935,0.008014257065951824,-6.609348201891407e-05,-6.069378287065774e-05
Step-Preload,0.00029999989783391356,0.017866989597678185,-1.6870790204848163e-05,-1.810883986763656e-05
Step-Preload,0.0003999998443759978,0.03145935758948326,-6.465222395490855e-05,-7.255557284224778e-05
Step-Preload,0.000499999790918082,0.04867646098136902,-1.3889599358662963e-05,-2.9216771508799866e-05
Step-Preload,0.0005999997374601662,0.06940633058547974,-6.03998196311295e-05,-8.43481466290541e-05
Step-Preload,0.0006999996840022504,0.09353968501091003,-8.501800039084628e-06,-4.309677751734853e-05
Step-Preload,0.0007999996305443347,0.12097032368183136,-5.3799289162270725e-05,-0.00010145312990061939
Step-Preload,0.0008999995770864189,0.15159465372562408,-1.4249798141463543e-06,-6.426040636142716e-05
Step-Preload,0.0009999994654208422,0.18531204760074615,-4.759654984809458e-05,-0.0001269849162781611
Step-Preload,0.0010999994119629264,0.22202423214912415,3.122896259810659e-06,-9.401958232047036e-05
Step-Preload,0.001204699045047164,0.2635720670223236,-4.4653988879872486e-05,-0.0001617410744074732
Step-Preload,0.0013046989915892482,0.3061244487762451,4.286244802642614e-06,-0.00013129381113685668
Step-Preload,0.0014046989381313324,0.35138237476348877,-4.54780638392549e-05,-0.0001982511894311756
Step-Preload,0.0015046987682580948,0.39926180243492126,2.187240625062259e-06,-0.00016647539450787008
Step-Preload,0.0016046985983848572,0.4496760964393616,-4.743447061628103e-05,-0.0002303302171640098
Step-Preload,0.0017046984285116196,0.5025404691696167,1.2254923831278575e-06,-0.00019361608428880572
Step-Preload,0.001804698258638382,0.5577722787857056,-4.729717329610139e-05,-0.0002509650366846472
Step-Preload,0.0019046980887651443,0.6152905225753784,0.00018471715156920254,-2.4814793505356647e-05
Step-Preload,0.0020046979188919067,0.675016462802887,0.00032001861836761236,0.00010762806778075173
Step-Preload,0.002104697749018669,0.7368725538253784,0.0005650610546581447,0.00035301351454108953
Step-Preload,0.0022046975791454315,0.8007831573486328,0.0005305276135914028,0.00032204974559135735
Step-Preload,0.002304697409272194,0.8666734099388123,0.0013213864294812083,0.0011184103786945343
Step-Preload,0.0024046972393989563,0.9344709515571594,0.0012676004553213716,0.0010711243376135826
Step-Preload,0.0025046970695257187,1.0041038990020752,0.0013711933279410005,0.0011807765113189816
Step-Preload,0.002604696899652481,1.0755023956298828,0.0015767936129122972,0.0013911789283156395
Step-Preload,0.0027046967297792435,1.148598074913025,0.001812170841731131,0.0016280487179756165
Step-Preload,0.002804696559906006,1.2233246564865112,0.0019738764967769384,0.0017864330438897014
Step-Preload,0.0029046963900327682,1.2996177673339844,0.0024398406967520714,0.002243718132376671
Step-Preload,0.0030046964529901743,1.3774150609970093,0.002909391885623336,0.0026994189247488976
Step-Preload,0.0031046965159475803,1.4566562175750732,0.004589800722897053,0.00436030887067318
Step-Preload,0.0032046963460743427,1.537283182144165,0.0045920973643660545,0.004338087048381567
Step-Preload,0.003304696176201105,1.619239330291748,0.005107834469527006,0.00482515525072813
Step-Preload,0.0034046960063278675,1.7024704217910767,0.005244211759418249,0.004931502975523472
Step-Preload,0.00350469583645463,1.7869230508804321,0.005830390378832817,0.005486180540174246
Step-Preload,0.0036046956665813923,1.872545599937439,0.0057098232209682465,0.005334419663995504
Step-Preload,0.0037046954967081547,1.9592881202697754,0.006307818926870823,0.0059033725410699844
Step-Preload,0.003804695326834917,2.0471012592315674,0.007868857122957706,0.0074391732923686504
Step-Preload,0.0039046951569616795,2.1359376907348633,0.009089913219213486,0.008640437386929989
Step-Preload,0.004004694987088442,2.2257490158081055,0.00993856880813837,0.009473268873989582
Step-Preload,0.004104609601199627,2.316413164138794,0.011274662800133228,0.010801239870488644
Step-Preload,0.004204438999295235,2.4078798294067383,0.009952167980372906,0.009475955739617348
Step-Preload,0.004304182715713978,2.500102996826172,0.010475772432982922,0.01000197883695364
Step-Preload,0.004403841216117144,2.5930397510528564,0.010486344806849957,0.010022138245403767
Step-Preload,0.004503414500504732,2.686640739440918,0.011778408661484718,0.011324968189001083
Step-Preload,0.004602902103215456,2.7808656692504883,0.011228769086301327,0.010790687054395676
Step-Preload,0.004702304489910603,2.8756704330444336,0.012338425032794476,0.011916038580238819
Step-Preload,0.004801621660590172,2.9710135459899902,0.012026196345686913,0.011617826297879219
Step-Preload,0.004900853615254164,3.06685471534729,0.015364113263785839,0.01496733259409666
Step-Preload,0.004999999888241291,3.163156270980835,0.013564072549343109,0.013176380656659603
Step-Separation,0.0,3.163156270980835,0.013564072549343109,0.01317636575549841
Step-Separation,0.0010997751960530877,4621.7294921875,4763.23095703125,-278.1109619140625
Step-Separation,0.0020042958203703165,5825.3017578125,7537.5107421875,-597.8477783203125
Step-Separation,0.003004073863849044,7079.67138671875,10268.97265625,-615.4327392578125
Step-Separation,0.0040038092993199825,7314.17919921875,10643.2783203125,-629.3291015625
Step-Separation,0.005003451835364103,7052.66650390625,13508.4208984375,-626.6607666015625
Step-Separation,0.0060030375607311726,6597.4580078125,15554.328125,-590.4006958007812
Step-Separation,0.0070025986060500145,6705.8984375,16406.9375,-591.598388671875
Step-Separation,0.008002238348126411,6622.02197265625,16933.00390625,-594.1644897460938
