node_id,x,y,z,ux,uy,uz,u_mag,s11,s22,s12,smises,vx,vy,vz,v_mag,defect_label
1,2577.1548,100.0,347.66788,0.27015835,-0.9391347,2.019544,2.2435500621795654,2.6938846856355667,0.30031399987637997,0.0,3.4006356298923492,1.3167756,-3.633545,7.990481,8.876053810119629,0
2,2577.1548,50.0,347.66788,0.3258215,-0.9399747,2.0765288,2.3025386333465576,5.10035665333271,0.19294752134010196,0.0,5.290086954832077,1.4092724,-3.6278255,8.10659,8.992439270019531,0
3,2583.3428,2600.0,298.2295,-0.079559565,-0.766419,0.34102553,0.8426305055618286,0.1732243113219738,0.7741345763206482,0.0,0.7226183116436005,-0.5877688,-3.83858,2.0830188,4.406714916229248,0
4,2583.3428,2550.0,298.2295,-0.08393979,-0.77030843,0.36136252,0.854987621307373,0.18164339661598206,0.7895097807049751,0.0,0.7333932965993881,-0.61771876,-3.8372993,2.1901052,4.461278438568115,0
5,2583.3428,2500.0,298.2295,-0.08838694,-0.77426976,0.38195395,0.8678679466247559,0.1911636982113123,0.8043477609753609,0.0,0.7435388267040253,-0.6529399,-3.8387895,2.317276,4.531269550323486,0
6,2583.3428,2450.0,298.2295,-0.09297359,-0.7783072,0.40279913,0.8812794089317322,0.19901176542043686,0.8189320862293243,0.0,0.7541434913873672,-0.68024,-3.8347363,2.4429727,4.597395420074463,0
7,2583.3428,2400.0,298.2295,-0.09763302,-0.7824163,0.42392075,0.895218551158905,0.20664425194263458,0.8326181396842003,0.0,0.7643614113330841,-0.71103674,-3.8307335,2.568356,4.666534900665283,0
8,2583.3428,2350.0,298.2295,-0.102419525,-0.7865844,0.4453116,0.9096742272377014,0.21336814761161804,0.8460505083203316,0.0,0.7746865749359131,-0.7475077,-3.825284,2.669126,4.723959922790527,0
9,2583.3428,2300.0,298.2295,-0.1073263,-0.7908206,0.46700615,0.9246679544448853,0.2185973059386015,0.8595184609293938,0.0,0.785261332988739,-0.76551384,-3.8188002,2.748802,4.767091274261475,0
10,2583.3428,2250.0,298.2295,-0.11232598,-0.7951256,0.4889893,0.940187394618988,0.22686229087412357,0.8720451220870018,0.0,0.7937036529183388,-0.80008495,-3.8192558,2.825203,4.817532539367676,0
11,2583.3428,2200.0,298.2295,-0.11744459,-0.7994866,0.5112972,0.9562410116195679,0.23550092615187168,0.8836205378174782,0.0,0.8009613826870918,-0.8276635,-3.818504,2.931826,4.884834289550781,0
12,2583.3428,2150.0,298.2295,-0.12268813,-0.80390203,0.5339202,0.9728215336799622,0.24512344971299171,0.894689254462719,0.0,0.8076814711093903,-0.8596052,-3.8138418,3.0461257,4.956126689910889,0
13,2583.3428,2100.0,298.2295,-0.12800051,-0.80836886,0.5568869,0.9899330139160156,0.2552357595413923,0.9052405580878258,0.0,0.8141381368041039,-0.89606863,-3.813817,3.2011955,5.059228420257568,0
14,2583.3428,2050.0,298.2295,-0.13349581,-0.81288487,0.5801829,1.0075788497924805,0.2633162662386894,0.9149165004491806,0.0,0.8207534402608871,-0.9310873,-3.8104844,3.337695,5.1504292488098145,0
15,2583.3428,2000.0,298.2295,-0.13902965,-0.8174491,0.6038519,1.0257627964019775,0.267790250480175,0.9243950471282005,0.0,0.8285382315516472,-0.95423293,-3.8035877,3.4466963,5.220876693725586,0
16,2583.3428,1950.0,298.2295,-0.14468004,-0.82206345,0.6278821,1.0444886684417725,0.26540856063365936,0.9335574507713318,0.0,0.8378673270344734,-0.97686946,-3.8038287,3.5278459,5.279117584228516,0
17,2583.3428,1900.0,298.2295,-0.15041284,-0.8267222,0.65231514,1.0637710094451904,0.26177529245615005,0.9416529387235641,0.0,0.8458017706871033,-1.0001203,-3.802734,3.5895472,5.324084281921387,0
18,2583.3428,1850.0,298.2295,-0.1561645,-0.83142024,0.67714363,1.0835914611816406,0.26804931834340096,0.9489794969558716,0.0,0.8496537059545517,-1.0100812,-3.7957208,3.6669204,5.373459339141846,0
19,2583.3428,1800.0,298.2295,-0.1619938,-0.8361497,0.7024097,1.103978157043457,0.28059275075793266,0.9555478394031525,0.0,0.8515390753746033,-1.0471307,-3.793702,3.790101,5.463837623596191,0
20,2583.3428,1750.0,298.2295,-0.16779675,-0.84090716,0.7281004,1.124904751777649,0.29763996601104736,0.9616555497050285,0.0,0.8531146422028542,-1.0523415,-3.789844,3.9469798,5.57216215133667,0
21,2583.3428,1700.0,298.2295,-0.173548,-0.8456889,0.75424105,1.1463804244995117,0.30941351503133774,0.9679087772965431,0.0,0.8564222902059555,-1.0778623,-3.7846756,4.1114597,5.69119119644165,0
