step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.0020185932517051697,1.2456331965893241e-08,-4.153935151407495e-06
Step-Preload,0.00019999995129182935,0.008014475926756859,-2.9572083803941496e-05,-2.260582368762698e-05
Step-Preload,0.00029999989783391356,0.017867689952254295,-1.8346023352933116e-05,-1.8023116354015656e-05
Step-Preload,0.0003999998443759978,0.03146078810095787,-2.8299145924393088e-05,-3.4442873584339395e-05
Step-Preload,0.000499999790918082,0.0486789345741272,-1.584936944709625e-05,-2.9115675715729594e-05
Step-Preload,0.0005999997374601662,0.06941013038158417,-2.449128260195721e-05,-4.6222270611906424e-05
Step-Preload,0.0006999996840022504,0.09354519844055176,-1.0863692295970395e-05,-4.2952276999130845e-05
Step-Preload,0.0007999996305443347,0.12097786366939545,-1.8688222553464584e-05,-6.326294533209875e-05
Step-Preload,0.0008999995770864189,0.15160463750362396,-4.9979344112216495e-06,-6.403237057384104e-05
Step-Preload,0.0009999994654208422,0.18532484769821167,-1.3736217624682467e-05,-8.869238081388175e-05
Step-Preload,0.0010999994119629264,0.22204028069972992,-1.7401839613739867e-06,-9.365626465296373e-05
Step-Preload,0.001204699045047164,0.2635919749736786,-1.259145574294962e-05,-0.00012327941658440977
Step-Preload,0.0013046989915892482,0.3061484694480896,-2.8468984965002164e-06,-0.0001307464117417112
Step-Preload,0.0014046989381313324,0.35141098499298096,-1.571967550262343e-05,-0.00015961765893734992
Step-Preload,0.0015046987682580948,0.399295449256897,-7.311880835914053e-06,-0.00016571868036407977
Step-Preload,0.0016046985983848572,0.4497152268886566,-2.0545410734484904e-05,-0.00019148318096995354
Step-Preload,0.0017046984285116196,0.5025855898857117,-1.1657206414383836e-05,-0.00019264982256572694
Step-Preload,0.001804698258638382,0.5578237771987915,-2.388830398558639e-05,-0.00021196353191044182
Step-Preload,0.0019046980887651443,0.6153490543365479,-1.3679772564501036e-05,-0.00020564618171192706
Step-Preload,0.0020046979188919067,0.6750824451446533,-2.4474760721204802e-05,-0.00021701259538531303
Step-Preload,0.002104697749018669,0.7369464635848999,-1.0274372471030802e-05,-0.00020002118253614753
Step-Preload,0.0022046975791454315,0.8008653521537781,-1.764709122653585e-05,-0.00020158005645498633
Step-Preload,0.002304697409272194,0.8667646646499634,-3.2829950669110985e-06,-0.00017913637566380203
Step-Preload,0.0024046972393989563,0.9345716238021851,-1.6300291463267058e-05,-0.0001828924723668024
Step-Preload,0.0025046970695257187,1.0042145252227783,6.593953003175557e-06,-0.00015096929564606398
Step-Preload,0.002604696899652481,1.0756237506866455,-3.5044558899244294e-06,-0.00015341733524110168
Step-Preload,0.0027046967297792435,1.1487305164337158,1.128144322137814e-05,-0.00013414706336334348
Step-Preload,0.002804696559906006,1.2234688997268677,-6.471431788668269e-06,-0.00015177667955867946
Step-Preload,0.0029046963900327682,1.299774408340454,5.2018793212482706e-05,-9.83063000603579e-05
Step-Preload,0.0030046964529901743,1.3775845766067505,0.00022566663392353803,6.48500063107349e-05
Step-Preload,0.0031046965159475803,1.4568392038345337,0.00024217451573349535,6.53425304335542e-05
Step-Preload,0.0032046963460743427,1.5374799966812134,0.000237018582993187,3.940207534469664e-05
