step,time_s,ALLKE_mJ,ALLSE_mJ,ETOTAL_mJ
Step-Preload,0.0,0.0,0.0,0.0
Step-Preload,9.999999747378752e-05,0.002018583472818136,1.2266291982143684e-08,-4.175511094217654e-06
Step-Preload,0.00019999995129182935,0.00801441352814436,-4.0006329072639346e-05,-3.348655445734039e-05
Step-Preload,0.00029999989783391356,0.017867492511868477,-1.7925469364854507e-05,-1.8047443518298678e-05
Step-Preload,0.0003999998443759978,0.03146038204431534,-3.868609928758815e-05,-4.533149694907479e-05
Step-Preload,0.000499999790918082,0.048678234219551086,-1.529245128040202e-05,-2.914472861448303e-05
Step-Preload,0.0005999997374601662,0.06940905749797821,-3.475392077234574e-05,-5.711418634746224e-05
Step-Preload,0.0006999996840022504,0.0935436487197876,-1.019530463963747e-05,-4.299331340007484e-05
Step-Preload,0.0007999996305443347,0.12097573280334473,-2.8728718461934477e-05,-7.417407323373482e-05
Step-Preload,0.0008999995770864189,0.15160182118415833,-3.9918704715091735e-06,-6.409407069440931e-05
Step-Preload,0.0009999994654208422,0.18532124161720276,-2.3429771317751147e-05,-9.963149204850197e-05
Step-Preload,0.0010999994119629264,0.22203576564788818,-3.782670319196768e-07,-9.375738591188565e-05
Step-Preload,0.001204699045047164,0.2635863721370697,-2.1788644517073408e-05,-0.0001342691684840247
Step-Preload,0.0013046989915892482,0.3061417043209076,-8.573481409257511e-07,-0.00013090016727801412
Step-Preload,0.0014046989381313324,0.3514029383659363,-2.428173684165813e-05,-0.0001706541661405936
Step-Preload,0.0015046987682580948,0.3992860019207001,-4.672438990382943e-06,-0.0001659356348682195
Step-Preload,0.0016046985983848572,0.44970422983169556,-2.831829624483362e-05,-0.0002025801077252254
Step-Preload,0.0017046984285116196,0.5025728940963745,-8.085684385150671e-06,-0.00019291663193143904
Step-Preload,0.001804698258638382,0.5578093528747559,-3.0703919037478045e-05,-0.00022310164058580995
Step-Preload,0.0019046980887651443,0.6153326630592346,-6.286174084380036e-06,-0.00020311344997026026
Step-Preload,0.0020046979188919067,0.6750639081001282,-2.4480785214109346e-05,-0.00022251936024986207
Step-Preload,0.002104697749018669,0.7369257211685181,1.2308565828789142e-06,-0.00019468028040137142
Step-Preload,0.0022046975791454315,0.80084228515625,-1.0678405487851705e-05,-0.0002014230703935027
Step-Preload,0.002304697409272194,0.8667390942573547,2.6564221116132103e-05,-0.00015678816998843104
Step-Preload,0.0024046972393989563,0.9345433712005615,1.4835440197202843e-05,-0.00016004862845875323
Step-Preload,0.0025046970695257187,1.0041835308074951,2.95119643851649e-05,-0.0001371413527522236
Step-Preload,0.002604696899652481,1.075589656829834,1.787963446986396e-05,-0.00014195017865858972
Step-Preload,0.0027046967297792435,1.1486934423446655,3.292094697826542e-05,-0.0001232105860253796
Step-Preload,0.002804696559906006,1.22342848777771,2.5146988264168613e-05,-0.0001318059948971495
Step-Preload,0.0029046963900327682,1.2997305393218994,9.547888475935906e-05,-6.750845932401717e-05
Step-Preload,0.0030046964529901743,1.3775371313095093,0.00031320651760324836,0.00013880565529689193
Step-Preload,0.0031046965159475803,1.4567879438400269,0.00034719594987109303,0.0001557833020342514
Step-Preload,0.0032046963460743427,1.5374246835708618,0.000383461156161502,0.00017010571900755167
Step-Preload,0.003304696176201105,1.6193912029266357,0.0004002284549642354,0.00016109715215861797
Step-Preload,0.0034046960063278675,1.7026327848434448,0.0006289827870205045,0.0003617786569520831
Step-Preload,0.00350469583645463,1.787096619606018,0.000780465838033706,0.0004845542134717107
Step-Preload,0.0036046956665813923,1.8727312088012695,0.0008258725283667445,0.0005017980001866817
Step-Preload,0.0037046954967081547,1.9594860076904297,0.0013289626222103834,0.000978880561888218
Step-Preload,0.003804695326834917,2.047312021255493,0.0018050874350592494,0.0014328074175864458
Step-Preload,0.0039046951569616795,2.1361613273620605,0.0021939303260296583,0.0018042069859802723
Step-Preload,0.004004694987088442,2.225986957550049,0.0018064983887597919,0.0014048120938241482
Step-Preload,0.004104609601199627,2.3166635036468506,0.0027420837432146072,0.0023336675949394703
Step-Preload,0.004204438999295235,2.40814471244812,0.0027194975409656763,0.0023111680056899786
Step-Preload,0.004304182715713978,2.500383138656616,0.003064877586439252,0.002662291517481208
Step-Preload,0.004403841216117144,2.5933339595794678,0.002543599810451269,0.002152069006115198
Step-Preload,0.004503414500504732,2.6869513988494873,0.0030717384070158005,0.002694611204788089
Step-Preload,0.004602902103215456,2.7811925411224365,0.0027324098628014326,0.00237308070063591
Step-Preload,0.004702304489910603,2.876014471054077,0.0030776839703321457,0.002737058326601982
Step-Preload,0.004801621660590172,2.9713754653930664,0.0027383568231016397,0.0024155904538929462
Step-Preload,0.004900853615254164,3.067234516143799,0.0030846153385937214,0.00277639739215374
Step-Preload,0.004999999888241291,3.16355299949646,0.0032907905988395214,0.002993291476741433
Step-Separation,0.0,3.16355299949646,0.0032907905988395214,0.0029932467732578516
Step-Separation,0.001099774963222444,4674.23583984375,4700.15576171875,-279.04815673828125
Step-Separation,0.002004326554015279,6239.0458984375,7561.47802734375,-392.6720886230469
Step-Separation,0.0030041805002838373,7960.259765625,10417.0908203125,-414.5513916015625
Step-Separation,0.004003987181931734,8706.474609375,10915.1748046875,-437.2440490722656
Step-Separation,0.005003677681088448,8799.7548828125,14102.54296875,-432.1995544433594
Step-Separation,0.006003315094858408,8353.9765625,16866.931640625,-393.9847412109375
Step-Separation,0.0070029255002737045,8256.875,18710.958984375,-388.5082702636719
Step-Separation,0.008002592250704765,7917.5634765625,20144.79296875,-396.291259765625
Step-Separation,0.009002179838716984,7702.4189453125,21310.044921875,-394.01629638671875
Step-Separation,0.01000176277011633,7469.27294921875,21489.322265625,-377.54180908203125
Step-Separation,0.011001362465322018,7091.0341796875,20982.12890625,-372.2559509277344
Step-Separation,0.012001006864011288,6667.42333984375,21028.505859375,-373.3721923828125
Step-Separation,0.013000654056668282,6292.69482421875,21497.755859375,-374.8507080078125
Step-Separation,0.01400027982890606,5900.3154296875,22347.994140625,-372.710205078125
