step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Preload,0.00029999989783391356,Q2-OUTERSKIN,2.9394695957307704e-06,-2.860332e-13,-2.9394696e-06,3.5176197e-13,0.019492246210575104,2.83224676422833e-06
Step-Preload,0.0005999997374601662,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0005999997374601662,Q1-CORE,1.1646934581222013e-05,8.7768776e-10,-1.1646929e-05,1.1458438e-08,0.038854483515024185,2.2903739591129124e-05
Step-Preload,0.0005999997374601662,Q1-INNERSKIN,1.1652087778202258e-05,8.7409335e-10,-1.1652082e-05,1.1468985e-08,0.03886594995856285,0.0003328424645587802
Step-Preload,0.0005999997374601662,Q1-OUTERSKIN,1.164320383395534e-05,3.4302972e-13,-1.1643204e-05,7.800297e-14,0.03841520473361015,7.509932038374245e-05
Step-Preload,0.0005999997374601662,Q2-CORE,1.1643008292594459e-05,-5.3987484e-13,-1.1643008e-05,4.5868566e-13,0.03879348188638687,9.060794354809332e-07
Step-Preload,0.0005999997374601662,Q2-INNERSKIN,1.1647925020952243e-05,5.366518e-10,-1.1647925e-05,-1.3124071e-10,0.03880712389945984,1.6314725144184195e-05
Step-Preload,0.0005999997374601662,Q2-OUTERSKIN,1.1643211109912954e-05,7.0734553e-13,-1.1643211e-05,4.5268956e-13,0.03841523081064224,1.0451191883475985e-05
Step-Preload,0.0007999996305443347,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0007999996305443347,Q1-CORE,2.0565597878885455e-05,1.379603e-08,-2.0565563e-05,3.5015432e-08,0.051066674292087555,2.5890085453283973e-05
Step-Preload,0.0007999996305443347,Q1-INNERSKIN,2.057337769656442e-05,1.3787941e-08,-2.0573343e-05,3.5044685e-08,0.05158625915646553,0.0003990651457570493
Step-Preload,0.0007999996305443347,Q1-OUTERSKIN,2.0562441932270303e-05,-4.3471865e-14,-2.0562442e-05,3.315876e-14,0.05072639137506485,0.00017410976579412818
