node_id,x,y,z,ux,uy,uz,temp,defect_label
68,1319.0,1850.0,2284.575,-0.070148334,0.29595652,0.3081316,120.0,0
69,1319.0,1800.0,2284.575,-0.0957193,0.2859565,0.29220313,120.0,0
70,1319.0,1750.0,2284.575,-0.12129027,0.2759565,0.27627465,120.0,0
71,1319.0,1700.0,2284.575,-0.14686123,0.26595652,0.26034614,120.0,0
72,1319.0,1650.0,2284.575,-0.1724322,0.2559565,0.24441767,120.0,0
73,1319.0,1600.0,2284.575,-0.19800316,0.24595651,0.22848918,120.0,0
74,1319.0,1550.0,2284.575,-0.22357412,0.2359565,0.21256068,120.0,0
75,1319.0,1500.0,2284.575,-0.24914509,0.22595651,0.19663219,120.0,0
76,1319.0,1450.0,2284.575,-0.27471605,0.21595651,0.1807037,120.0,0
77,1319.0,1400.0,2284.575,-0.300287,0.20595652,0.16477522,120.0,0
78,1319.0,1350.0,2284.575,-0.32585797,0.19595651,0.14884673,120.0,0
79,1319.0,1300.0,2284.575,-0.35142896,0.18595651,0.13291824,120.0,0
80,1319.0,1250.0,2284.575,-0.3769999,0.17595652,0.116989754,120.0,0
81,1319.0,1200.0,2284.575,-0.40257087,0.16595651,0.10106126,120.0,0
82,1319.0,1150.0,2284.575,-0.42814183,0.1559565,0.08513277,120.0,0
83,1319.0,1100.0,2284.575,-0.4537128,0.14595652,0.069204286,120.0,0
84,1319.0,1050.0,2284.575,-0.47928378,0.13595651,0.053275794,120.0,0
85,1319.0,1000.0,2284.575,-0.50485474,0.1259565,0.037347306,120.0,0
86,1319.0,950.0,2284.575,-0.5304257,0.11595651,0.021418817,120.0,0
87,1319.0,900.0,2284.575,-0.55599666,0.10595651,0.0054903277,120.0,0
88,1319.0,850.0,2284.575,-0.58156765,0.09595651,-0.010438161,120.0,0
89,1319.0,800.0,2284.575,-0.6071386,0.085956514,-0.026366651,120.0,0
90,1319.0,750.0,2284.575,-0.63270956,0.07595651,-0.04229514,120.0,0
91,1319.0,700.0,2284.575,-0.65828055,0.06595651,-0.058223628,120.0,0
92,1319.0,650.0,2284.575,-0.6838515,0.055956513,-0.07415212,120.0,0
93,1319.0,600.0,2284.575,-0.70942247,0.04595651,-0.090080604,120.0,0
