node_id,x,y,z,s11,s22,s12,dspss,defect_label
200001,1299.75,2251.233154296875,5000.0,-0.025736963376402855,-0.01008689496666193,1.7550437405589037e-06,0.28803718090057373,0
200002,1343.1600341796875,2225.60595703125,5000.0,-0.02578272484242916,-0.01008703000843525,-4.434400580066722e-07,0.28741736710071564,0
200003,1386.06494140625,2199.1416015625,5000.0,-0.025821768678724766,-0.01008827704936266,-2.272645815537544e-06,0.2869027704000473,0
200004,1428.4486083984375,2171.8505859375,5000.0,-0.025812605395913124,-0.010088336188346148,1.3503336049325299e-07,0.28700773417949677,0
200005,1470.2950439453125,2143.74267578125,5000.0,-0.025812512263655663,-0.010088013485074043,1.9216602709093422e-06,0.2869909852743149,0
200006,1511.588623046875,2114.82861328125,5000.0,-0.025814218446612358,-0.010088237002491951,1.9711245613507344e-07,0.286987841129303,0
200007,1552.313720703125,2085.119140625,5000.0,-0.025813979096710682,-0.010088035836815834,-2.4379829710596823e-06,0.28699345886707306,0
200008,1592.4552001953125,2054.625732421875,5000.0,-0.02581339329481125,-0.010088188108056784,-1.483586544281934e-06,0.2869908809661865,0
200009,1631.99755859375,2023.359619140625,5000.0,-0.025813653133809566,-0.010088077280670404,8.888041804766544e-07,0.28699278831481934,0
200010,1670.9263916015625,1991.33251953125,5000.0,-0.02581417467445135,-0.010088128503412008,1.5428402662109875e-06,0.2869897931814194,0
200011,1709.226806640625,1958.556640625,5000.0,-0.02581315115094185,-0.010088111273944378,1.0504673682021348e-06,0.28699058294296265,0
200012,1746.8843994140625,1925.044189453125,5000.0,-0.025813201442360878,-0.010088128969073296,-9.456003127183976e-07,0.28699006140232086,0
200013,1783.8851318359375,1890.8077392578125,5000.0,-0.02581378910690546,-0.01008809870108962,1.1601800906646531e-06,0.28699105978012085,0
200014,1820.2149658203125,1855.8603515625,5000.0,-0.025813682936131954,-0.010088117327541113,2.186588748287477e-06,0.2869926691055298,0
200015,1855.8603515625,1820.2149658203125,5000.0,-0.025813679210841656,-0.010088114999234676,-2.111739146215541e-06,0.2869925796985626,0
200016,1890.8077392578125,1783.8851318359375,5000.0,-0.025813794694840908,-0.01008810056373477,-1.0212754659733037e-06,0.2869909554719925,0
200017,1925.044189453125,1746.8843994140625,5000.0,-0.02581317350268364,-0.010088123846799135,1.0335804674355131e-06,0.28699013590812683,0
200018,1958.556640625,1709.226806640625,5000.0,-0.025813188403844833,-0.010088115930557251,-9.601255968050282e-07,0.28699029982089996,0
200019,1991.33251953125,1670.9263916015625,5000.0,-0.025814104825258255,-0.010088114533573389,-1.4400829400074144e-06,0.2869901657104492,0
200020,2023.359619140625,1631.99755859375,5000.0,-0.02581376861780882,-0.010088093113154173,-7.796386114478082e-07,0.28699199855327606,0
200021,2054.625732421875,1592.4552001953125,5000.0,-0.025813153013586998,-0.010088143404573202,1.5980872092313803e-06,0.2869921028614044,0
200022,2085.119140625,1552.313720703125,5000.0,-0.02581434417515993,-0.010088093113154173,2.542814627304324e-06,0.28699086606502533,0
200023,2114.82861328125,1511.588623046875,5000.0,-0.02581373881548643,-0.010088101029396057,-1.4258995406635222e-07,0.2869904339313507,0
200024,2143.74267578125,1470.2950439453125,5000.0,-0.025812651962041855,-0.010088160168379545,-1.781824039426283e-06,0.2869894504547119,0
200025,2171.8505859375,1428.4486083984375,5000.0,-0.025814208202064037,-0.010088080540299416,-6.536481578223174e-08,0.2869916558265686,0
200026,2199.1416015625,1386.06494140625,5000.0,-0.025813563726842403,-0.010088102426379919,2.4338581283700478e-06,0.2869948148727417,0
200027,2225.60595703125,1343.1600341796875,5000.0,-0.025812565349042416,-0.010088150389492512,-5.8702880778582767e-08,0.2869974821805954,0
200028,2251.233154296875,1299.75,5000.0,-0.025813695043325424,-0.01008805213496089,-2.334270959636342e-06,0.2869993895292282,0
200029,2276.013671875,1255.8511962890625,5000.0,-0.02581313904374838,-0.010088139679282904,-9.64635660238855e-08,0.28699448704719543,0
200030,2299.938232421875,1211.4801025390625,5000.0,-0.025814413093030453,-0.010088136419653893,1.0656617064341845e-06,0.28699198365211487,0
200031,2322.998046875,1166.6534423828125,5000.0,-0.02581468690186739,-0.010088029783219099,2.3808703986105684e-06,0.2869953364133835,0
200032,2345.184326171875,1121.3880615234375,5000.0,-0.02581182587891817,-0.01008820440620184,1.393359355006396e-06,0.2869954854249954,0
200033,2366.488525390625,1075.700927734375,5000.0,-0.025813288986682892,-0.010088060051202774,-2.0456158722481632e-06,0.2869969755411148,0
200034,2386.90283203125,1029.609375,5000.0,-0.025814184918999672,-0.010088098235428333,-1.1340905530232703e-06,0.28699755668640137,0
200035,2406.41943359375,983.1305541992188,5000.0,-0.025813783518970013,-0.01008815597742796,-2.1422079043986741e-07,0.28699612617492676,0
200036,2425.03125,936.281982421875,5000.0,-0.02581353485584259,-0.010088028851896524,-8.580301766869525e-07,0.28699633479118347,0
200037,2442.73095703125,889.0814208984375,5000.0,-0.025812179781496525,-0.010088208131492138,8.079357201040693e-07,0.2869940549135208,0
200038,2459.51220703125,841.54638671875,5000.0,-0.025813927873969078,-0.01008804002776742,1.724069932151906e-06,0.2869952470064163,0
200039,2475.368408203125,793.6949462890625,5000.0,-0.025814431719481945,-0.01008813502267003,-8.566111660002207e-07,0.28699545562267303,0
200040,2490.293701171875,745.5449829101562,5000.0,-0.025813566520810127,-0.010088114533573389,-2.9269764354467043e-06,0.28699035942554474,0
200041,2504.28271484375,697.1146850585938,5000.0,-0.02581296395510435,-0.010088101960718632,-1.2810268401608482e-06,0.2869883328676224,0
200042,2517.329833984375,648.4223022460938,5000.0,-0.02581352274864912,-0.010088167618960142,-4.5366638801169756e-07,0.2869917303323746,0
200043,2529.43017578125,599.4859619140625,5000.0,-0.025814583525061607,-0.010088023263961077,8.011334671209625e-07,0.2869950383901596,0
200044,2540.579345703125,550.32421875,5000.0,-0.025812228210270405,-0.010088176932185888,-2.2045810510462616e-08,0.28699059784412384,0
200045,2550.773193359375,500.95556640625,5000.0,-0.02581351436674595,-0.010088126175105572,-2.064066961793287e-06,0.2869909107685089,0
200046,2560.0078125,451.3984375,5000.0,-0.025814278982579708,-0.010088006500154734,8.947370133682853e-07,0.28699614107608795,0
200047,2568.27978515625,401.671630859375,5000.0,-0.02581274788826704,-0.010088249575346708,2.2054207988730923e-06,0.28699158132076263,0
200048,2575.585693359375,351.793701171875,5000.0,-0.025814557448029518,-0.01008796226233244,1.8219796515950293e-06,0.2869947701692581,0
200049,2581.923095703125,301.7835388183594,5000.0,-0.025814459659159184,-0.010088205803185701,8.576215293487621e-07,0.28699108958244324,0
200050,2587.289794921875,251.6598663330078,5000.0,-0.02581228967756033,-0.010087976232171059,-6.48392870061798e-07,0.28699783980846405,0
200051,2591.68310546875,201.44154357910156,5000.0,-0.025813207030296326,-0.010088215582072735,-1.0142084363451431e-06,0.28698357939720154,0
200052,2595.10205078125,151.14747619628906,5000.0,-0.025815029628574848,-0.010087914299219847,-1.1495606599964958e-06,0.28698524832725525,0
200053,2597.545166015625,100.79657745361328,5000.0,-0.025806196965277195,-0.010087729431688786,-5.527718371922674e-07,0.2871061861515045,0
200054,2599.01123046875,50.40776824951172,5000.0,-0.025842374190688133,-0.010089524555951357,6.39506083643937e-07,0.2863607853651047,0
200055,2599.5,0.0,5000.0,-0.025887200608849525,-0.010089928284287453,1.4116949387243949e-06,0.2855285108089447,0
200056,1299.75,2251.233154296875,4950.0,-0.024611350148916245,-0.010043492540717125,9.723194054345186e-07,0.3232073038816452,0
200057,1343.1600341796875,2225.60595703125,4950.0,-0.024599303025752306,-0.010044859955087304,-8.254275520869214e-07,0.3229072168469429,0
200058,1386.06494140625,2199.1416015625,4950.0,-0.024588521104305983,-0.01004528347402811,-2.188512524980979e-06,0.3226419538259506,0
200059,1428.4486083984375,2171.8505859375,4950.0,-0.024589177686721087,-0.010044967057183385,1.3730786463383993e-07,0.32268228381872177,0
200060,1470.2950439453125,2143.74267578125,4950.0,-0.024588068947196007,-0.010045181727036834,1.8983907352776441e-06,0.3226809725165367,0
200061,1511.588623046875,2114.82861328125,4950.0,-0.024589096195995808,-0.010045017814263701,2.1418370010906074e-07,0.3226786032319069,0
200062,1552.313720703125,2085.119140625,4950.0,-0.02458962006494403,-0.01004508207552135,-2.447052651177728e-06,0.3226810470223427,0
200063,1592.4552001953125,2054.625732421875,4950.0,-0.024588546250015497,-0.0100450674071908,-1.4764059130811802e-06,0.32267990708351135,0
200064,1631.99755859375,2023.359619140625,4950.0,-0.024589136242866516,-0.01004506484605372,8.824833344078797e-07,0.3226805403828621,0
200065,1670.9263916015625,1991.33251953125,4950.0,-0.02458939701318741,-0.010045045288279653,1.5419115584336396e-06,0.3226798251271248,0
200066,1709.226806640625,1958.556640625,4950.0,-0.024588517379015684,-0.010045073460787535,1.0449714196170135e-06,0.32267964631319046,0
200067,1746.8843994140625,1925.044189453125,4950.0,-0.024588482454419136,-0.010045060887932777,-9.456326708345841e-07,0.3226795420050621,0
200068,1783.8851318359375,1890.8077392578125,4950.0,-0.024589129723608494,-0.010045052040368319,1.1538974717950623e-06,0.3226799815893173,0
200069,1820.2149658203125,1855.8603515625,4950.0,-0.024589043110609055,-0.01004505786113441,2.1889087866711066e-06,0.3226804584264755,0
200070,1855.8603515625,1820.2149658203125,4950.0,-0.024589055683463812,-0.010045065777376294,-2.1068210225294592e-06,0.32268041372299194,0
200071,1890.8077392578125,1783.8851318359375,4950.0,-0.02458911668509245,-0.010045042261481285,-1.018875650515838e-06,0.3226799815893173,0
200072,1925.044189453125,1746.8843994140625,4950.0,-0.02458848850801587,-0.01004507066681981,1.0405360963972043e-06,0.3226795196533203,0
200073,1958.556640625,1709.226806640625,4950.0,-0.024588503409177065,-0.010045058326795697,-9.528865749786064e-07,0.3226795867085457,0
200074,1991.33251953125,1670.9263916015625,4950.0,-0.024589403998106718,-0.010045060189440846,-1.4346331909109722e-06,0.3226798325777054,0
200075,2023.359619140625,1631.99755859375,4950.0,-0.02458912320435047,-0.010045038536190987,-7.755736532999435e-07,0.3226803094148636,0
200076,2054.625732421875,1592.4552001953125,4950.0,-0.024588522966951132,-0.010045088827610016,1.59662121745896e-06,0.32268019020557404,0
200077,2085.119140625,1552.313720703125,4950.0,-0.02458965126425028,-0.01004503876902163,2.543175327218705e-06,0.32268015295267105,0
200078,2114.82861328125,1511.588623046875,4950.0,-0.024589058943092823,-0.010045044356957078,-1.393096340507327e-07,0.322679840028286,0
200079,2143.74267578125,1470.2950439453125,4950.0,-0.024587946478277445,-0.010045103263109922,-1.7769901603514882e-06,0.32267919182777405,0
200080,2171.8505859375,1428.4486083984375,4950.0,-0.024589532986283302,-0.010045026196166873,-6.399909580068197e-08,0.3226802498102188,0
200081,2199.1416015625,1386.06494140625,4950.0,-0.024588996544480324,-0.01004504831507802,2.4362843760172836e-06,0.3226810097694397,0
200082,2225.60595703125,1343.1600341796875,4950.0,-0.024588054977357388,-0.010045100934803486,-5.03238197779865e-08,0.3226814717054367,0
200083,2251.233154296875,1299.75,4950.0,-0.024589243810623884,-0.010045003378763795,-2.329881482410201e-06,0.3226824328303337,0
200084,2276.013671875,1255.8511962890625,4950.0,-0.024588576517999172,-0.010045084869489074,-9.341016493635834e-08,0.3226809576153755,0
200085,2299.938232421875,1211.4801025390625,4950.0,-0.024589724373072386,-0.010045084170997143,1.0678332671432145e-06,0.3226805478334427,0
200086,2322.998046875,1166.6534423828125,4950.0,-0.024590120185166597,-0.0100449756719172,2.381216802405106e-06,0.32268161326646805,0
200087,2345.184326171875,1121.3880615234375,4950.0,-0.024587286170572042,-0.010045152623206377,1.398568258537125e-06,0.32268083095550537,0
200088,2366.488525390625,1075.700927734375,4950.0,-0.02458874974399805,-0.01004501013085246,-2.037984586422681e-06,0.32268159836530685,0
200089,2386.90283203125,1029.609375,4950.0,-0.024589691776782274,-0.01004504575394094,-1.1283585479304747e-06,0.32268211990594864,0
200090,2406.41943359375,983.1305541992188,4950.0,-0.024589221458882093,-0.010045105125755072,-2.056150947282731e-07,0.3226815313100815,0
200091,2425.03125,936.281982421875,4950.0,-0.02458901097998023,-0.01004497823305428,-8.50587909440037e-07,0.3226814568042755,0
200092,2442.73095703125,889.0814208984375,4950.0,-0.024587599094957113,-0.010045150527730584,8.131196835847732e-07,0.32268041372299194,0
200093,2459.51220703125,841.54638671875,4950.0,-0.024589349515736103,-0.010044995229691267,1.73041226503301e-06,0.3226812407374382,0
200094,2475.368408203125,793.6949462890625,4950.0,-0.024589876644313335,-0.010045073460787535,-8.480949702516227e-07,0.32268156111240387,0
200095,2490.293701171875,745.5449829101562,4950.0,-0.024588885717093945,-0.010045070899650455,-2.9157396852497186e-06,0.322679728269577,0
200096,2504.28271484375,697.1146850585938,4950.0,-0.024588221218436956,-0.010045029455795884,-1.2725654698897415e-06,0.322678878903389,0
200097,2517.329833984375,648.4223022460938,4950.0,-0.02458887454122305,-0.010045130271464586,-4.4616626837523654e-07,0.3226800113916397,0
200098,2529.43017578125,599.4859619140625,4950.0,-0.024590000975877047,-0.010044950293377042,8.014002617073857e-07,0.3226812928915024,0
200099,2540.579345703125,550.32421875,4950.0,-0.024587612133473158,-0.01004514703527093,-1.4436068340728525e-08,0.3226792812347412,0
200100,2550.773193359375,500.95556640625,4950.0,-0.024588766042143106,-0.010045037604868412,-2.0678148757724557e-06,0.32267966121435165,0
200101,2560.0078125,451.3984375,4950.0,-0.024589830078184605,-0.010045002214610577,8.930816761676397e-07,0.3226814866065979,0
200102,2568.27978515625,401.671630859375,4950.0,-0.024588019587099552,-0.010045128874480724,2.192759581021164e-06,0.3226798474788666,0
200103,2575.585693359375,351.793701171875,4950.0,-0.024590076878666878,-0.010045005939900875,1.8203391789484158e-06,0.32268112152814865,0
200104,2581.923095703125,301.7835388183594,4950.0,-0.02458966290578246,-0.010045021772384644,8.385832899193701e-07,0.32268020510673523,0
200105,2587.289794921875,251.6598663330078,4950.0,-0.024587939493358135,-0.010045112809166312,-6.373770560230696e-07,0.3226814791560173,0
200106,2591.68310546875,201.44154357910156,4950.0,-0.024588520172983408,-0.010044928407296538,-1.0318859722246998e-06,0.3226773664355278,0
200107,2595.10205078125,151.14747619628906,4950.0,-0.024588914588093758,-0.010045151226222515,-1.1555576122646016e-06,0.3226787745952606,0
200108,2597.545166015625,100.79657745361328,4950.0,-0.02459039492532611,-0.010044772643595934,-4.593327060931074e-07,0.3227265551686287,0
200109,2599.01123046875,50.40776824951172,4950.0,-0.02457858482375741,-0.010045315837487578,2.3868937848448013e-07,0.32243405282497406,0
200110,2599.5,0.0,4950.0,-0.024565784260630608,-0.010046783369034529,5.560300309070954e-07,0.32210367918014526,0
200111,1299.75,2251.233154296875,4900.0,-0.024712919257581234,-0.010017800610512495,5.97775503763387e-07,0.3397635668516159,0
200112,1343.1600341796875,2225.60595703125,4900.0,-0.02469741925597191,-0.010017972672358155,-1.1290802071073358e-06,0.3398725092411041,0
200113,1386.06494140625,2199.1416015625,4900.0,-0.02468413719907403,-0.010017842520028353,-2.2365943834756763e-06,0.3399731367826462,0
200114,1428.4486083984375,2171.8505859375,4900.0,-0.024686721619218588,-0.010017723077908158,1.580852142524236e-07,0.33996064215898514,0
200115,1470.2950439453125,2143.74267578125,4900.0,-0.02468545874580741,-0.010017923545092344,1.860484218241254e-06,0.3399617150425911,0
200116,1511.588623046875,2114.82861328125,4900.0,-0.024686079006642103,-0.010017809923738241,2.1739916178376006e-07,0.33996502310037613,0
200117,1552.313720703125,2085.119140625,4900.0,-0.0246869963593781,-0.010017825523391366,-2.4585236815255485e-06,0.33996405452489853,0
200118,1592.4552001953125,2054.625732421875,4900.0,-0.02468568505719304,-0.010017873719334602,-1.4847956464336676e-06,0.33996427804231644,0
200119,1631.99755859375,2023.359619140625,4900.0,-0.024686391931027174,-0.010017816675826907,8.718873658608572e-07,0.33996425569057465,0
200120,1670.9263916015625,1991.33251953125,4900.0,-0.024686606600880623,-0.010017843218520284,1.5281171670267213e-06,0.3399648219347,0
200121,1709.226806640625,1958.556640625,4900.0,-0.024685734882950783,-0.010017834138125181,1.0331088802217891e-06,0.3399643227458,0
200122,1746.8843994140625,1925.044189453125,4900.0,-0.024685703683644533,-0.010017851833254099,-9.559558904470578e-07,0.3399643450975418,0
200123,1783.8851318359375,1890.8077392578125,4900.0,-0.02468633884564042,-0.010017819469794631,1.139175026310113e-06,0.33996449410915375,0
200124,1820.2149658203125,1855.8603515625,4900.0,-0.024686268996447325,-0.010017845313996077,2.185210003169402e-06,0.33996421843767166,0
200125,1855.8603515625,1820.2149658203125,4900.0,-0.02468626806512475,-0.010017839493229985,-2.10577417636415e-06,0.33996424078941345,0
200126,1890.8077392578125,1783.8851318359375,4900.0,-0.024686337914317846,-0.010017824824899435,-1.023294771584915e-06,0.33996450901031494,0
200127,1925.044189453125,1746.8843994140625,4900.0,-0.02468570275232196,-0.010017845081165433,1.0456108388012808e-06,0.3399643525481224,0
200128,1958.556640625,1709.226806640625,4900.0,-0.024685722775757313,-0.010017839260399342,-9.488451606642911e-07,0.339964359998703,0
200129,1991.33251953125,1670.9263916015625,4900.0,-0.02468661917373538,-0.0100178353022784,-1.4329019109027286e-06,0.3399647995829582,0
200130,2023.359619140625,1631.99755859375,4900.0,-0.02468634955585003,-0.010017819469794631,-7.760612987794957e-07,0.33996443450450897,0
200131,2054.625732421875,1592.4552001953125,4900.0,-0.024685746058821678,-0.01001786720007658,1.5894135714233926e-06,0.3399641662836075,0
200132,2085.119140625,1552.313720703125,4900.0,-0.024686863645911217,-0.010017817607149482,2.5390500582034292e-06,0.3399648368358612,0
200133,2114.82861328125,1511.588623046875,4900.0,-0.024686281569302082,-0.01001782133243978,-1.4046713658899534e-07,0.3399646505713463,0
200134,2143.74267578125,1470.2950439453125,4900.0,-0.024685161653906107,-0.010017880238592625,-1.7770266538263968e-06,0.33996422588825226,0
200135,2171.8505859375,1428.4486083984375,4900.0,-0.02468674350529909,-0.010017803637310863,-6.728740231665142e-08,0.33996450901031494,0
200136,2199.1416015625,1386.06494140625,4900.0,-0.024686230812221766,-0.010017827153205872,2.4347672251678887e-06,0.33996371179819107,0
