node_id,x,y,z,ux,uy,uz,temp,s11,s22,s12,smises,defect_label
1,1893.8528,5000.0,1836.4001,-2.5053992,0.9319364,-2.2197285,120.0,-0.06477414816617966,0.004164581187069416,0.0011291482951492071,0.3752969093620777,0
2,1893.8528,2150.0,1836.4001,-2.124777,0.3449743,-2.25868,120.0,4.004121485108044,0.10307906671368983,0.4549985124031082,16.5837731937645,0
3,2537.2957,2150.0,721.92456,-1.7315727,0.26365432,-0.52605385,120.0,0.7915054195327684,-0.11706595111172646,0.2640816104976693,4.040257311426103,0
4,2537.2957,5000.0,721.92456,-1.2098535,0.83843464,-1.0494998,120.0,0.004315631464123726,-0.00010629952885210514,-0.000540395500138402,0.20145029947161674,0
5,1893.8528,850.0,1836.4001,-0.19331095,0.13426746,-0.1307908,120.0,-3.964549769720179,-1.6955038885398608,0.3361900287854951,5.574143795078271,0
6,2537.2957,850.0,721.92456,0.012088993,0.111104615,0.07998197,120.0,-7.548821953627339,-0.18503598155803047,-0.5445551255925238,7.54367169093166,0
7,1893.8528,0.0,1836.4001,-2.0533443e-34,-1.9521816e-34,2.308678e-34,120.0,-71.94366645812988,0.09292113408446312,0.4318084642291069,71.99634170532227,0
8,1319.0,850.0,2284.575,-1.0718881,0.04796759,-1.1728376,120.0,-9.480541467666626,-0.6267579942941666,-1.0047880113124847,9.347141742706299,0
9,1319.0,0.0,2284.575,-1.7901574e-34,-4.0998786e-34,-2.0441978e-34,120.0,-59.66231346130371,-0.31518464908003807,-1.8183792233467102,59.59232139587402,0
10,2537.2957,0.0,721.92456,-6.60058e-35,-1.1676113e-34,4.1414934e-34,120.0,-62.51480674743652,0.6670472025871277,0.4534452483057976,62.85754871368408,0
11,1319.0,2150.0,2284.575,-3.2828567,0.18165652,-3.6631362,120.0,0.7442743815481663,0.10153817012906075,0.1311433371156454,0.7923762127757072,0
12,1319.0,5000.0,2284.575,-7.8656826,0.7851522,-9.121256,120.0,0.26436977088451385,0.02551019659586018,0.03511870629154146,0.8437331467866898,0
13,2638.0,850.0,0.0,-0.3550624,-0.01684732,-0.3905509,120.0,-5.823646664619446,-0.4586291015148163,-1.249599426984787,6.017155289649963,0
14,2638.0,2150.0,0.0,-1.615269,0.08572604,-0.883942,120.0,-0.33585262298583984,0.11892431043088436,-0.17336964048445225,4.5970635414123535,0
15,2638.0,0.0,0.0,1.2615155e-35,-5.6336334e-34,-1.03797665e-35,120.0,-12.952503204345703,-4.847341179847717,-4.341683387756348,13.97622299194336,0
16,2638.0,5000.0,0.0,-6.6220994,0.6667327,-1.842141,120.0,0.040787842124700546,0.03307105042040348,0.008179664611816406,0.35828401893377304,0
17,0.0,10448.525,0.0,22.319723,17.263235,8.937065,120.0,0.0025135464917790764,-2.7038538974011317e-05,3.8854650483699515e-06,0.003042142096091993,0
18,1893.8528,4950.0,1836.4001,-2.4764652,0.92192876,-2.1991484,120.0,-0.07149498909711838,0.003847374813631177,0.0020318871829658747,0.43964339047670364,0
19,1893.8528,4900.0,1836.4001,-2.4468327,0.9119129,-2.1778798,120.0,-0.06424839422106743,0.0041619171388447285,0.0018139034509658813,0.4648519307374954,0
20,1893.8528,4850.0,1836.4001,-2.4175847,0.901904,-2.1569755,120.0,-0.057973384857177734,0.004520139191299677,0.0016508991830050945,0.4638390466570854,0
21,1893.8528,4800.0,1836.4001,-2.388544,0.891887,-2.1362565,120.0,-0.0558525025844574,0.00457778898999095,0.0019703428260982037,0.46270810812711716,0
22,1893.8528,4750.0,1836.4001,-2.3594992,0.8818738,-2.1155264,120.0,-0.05360583961009979,0.004655948840081692,0.0022810909431427717,0.46705102920532227,0
23,1893.8528,4700.0,1836.4001,-2.3305256,0.8718532,-2.0948455,120.0,-0.050374969840049744,0.004781568422913551,0.002520211273804307,0.4709532856941223,0
24,1893.8528,4650.0,1836.4001,-2.301651,0.86183584,-2.0742543,120.0,-0.047023337334394455,0.004895247984677553,0.002771462546661496,0.47450025752186775,0
25,1893.8528,4600.0,1836.4001,-2.2728946,0.8518118,-2.053753,120.0,-0.04359225556254387,0.004990178160369396,0.0030388478189706802,0.4780638813972473,0
26,1893.8528,4550.0,1836.4001,-2.2442534,0.8417902,-2.0333586,120.0,-0.03990854695439339,0.005068464204668999,0.0033093104138970375,0.4819307327270508,0
27,1893.8528,4500.0,1836.4001,-2.2157552,0.8317627,-2.0130723,120.0,-0.03600987419486046,0.005136716179549694,0.003575592301785946,0.485615786164999,0
28,1893.8528,4450.0,1836.4001,-2.1874032,0.82173675,-1.9929243,120.0,-0.03186638653278351,0.00518749700859189,0.0038463869132101536,0.48914968967437744,0
29,1893.8528,4400.0,1836.4001,-2.1592214,0.81170577,-1.9729053,120.0,-0.027567051351070404,0.005232489667832851,0.00411562155932188,0.49233558401465416,0
30,1893.8528,4350.0,1836.4001,-2.1312091,0.8016755,-1.9530492,120.0,-0.023040316998958588,0.005267630331218243,0.004393902374431491,0.4951740503311157,0
31,1893.8528,4300.0,1836.4001,-2.1033895,0.7916411,-1.9333376,120.0,-0.018385954201221466,0.005308475345373154,0.004675209289416671,0.49753547832369804,0
32,1893.8528,4250.0,1836.4001,-2.0757577,0.7816062,-1.9138097,120.0,-0.013515368103981018,0.005350304301828146,0.004974927753210068,0.499433234333992,0
33,1893.8528,4200.0,1836.4001,-2.048337,0.7715681,-1.8944386,120.0,-0.008529327809810638,0.005410831421613693,0.005286318250000477,0.5008168928325176,0
34,1893.8528,4150.0,1836.4001,-2.0211198,0.7615281,-1.8752695,120.0,-0.0033103302121162415,0.0054834396578371525,0.005628164857625961,0.5017235167324543,0
35,1893.8528,4100.0,1836.4001,-1.9941307,0.75148576,-1.8562686,120.0,0.002039186656475067,0.005587411113083363,0.0059917892795056105,0.5021445974707603,0
36,1893.8528,4050.0,1836.4001,-1.9673604,0.74143964,-1.8374894,120.0,0.007667753845453262,0.005713106133043766,0.006399116013199091,0.5021324306726456,0
37,1893.8528,4000.0,1836.4001,-1.9408381,0.7313922,-1.818892,120.0,0.013464055955410004,0.005881674122065306,0.006838456494733691,0.5016910620033741,0
38,1893.8528,3950.0,1836.4001,-1.9145533,0.7213386,-1.8005404,120.0,0.01961064338684082,0.006079773884266615,0.007335090544074774,0.5008773468434811,0
39,1893.8528,3900.0,1836.4001,-1.8885424,0.71128494,-1.7823908,120.0,0.02597712352871895,0.006331328768283129,0.00787337264046073,0.4996826872229576,0
40,1893.8528,3850.0,1836.4001,-1.8627949,0.70122224,-1.7645191,120.0,0.032785046845674515,0.006618629675358534,0.00848271488212049,0.49816175922751427,0
41,1893.8528,3800.0,1836.4001,-1.8373568,0.6911607,-1.7468781,120.0,0.03987275809049606,0.006969704991206527,0.009142515249550343,0.4962734691798687,0
42,1893.8528,3750.0,1836.4001,-1.812218,0.68108684,-1.7295586,120.0,0.04750937595963478,0.007361565949395299,0.00988757680170238,0.49406927824020386,0
43,1893.8528,3700.0,1836.4001,-1.7874368,0.67101556,-1.7125107,120.0,0.05548740178346634,0.00782805192284286,0.010691080708056688,0.49145928397774696,0
44,1893.8528,3650.0,1836.4001,-1.7630042,0.6609281,-1.6958419,120.0,0.06413673609495163,0.008339524501934648,0.011594995972700417,0.48849625885486603,0
45,1893.8528,3600.0,1836.4001,-1.7389934,0.650845,-1.6795003,120.0,0.07318511232733727,0.008937852689996362,0.012564564705826342,0.4850265122950077,0
46,1893.8528,3550.0,1836.4001,-1.7153963,0.64074105,-1.6636128,120.0,0.08304273337125778,0.009584708139300346,0.01365138462278992,0.48111409693956375,0
47,1893.8528,3500.0,1836.4001,-1.6923043,0.6306437,-1.6481256,120.0,0.09334712475538254,0.010333005571737885,0.01481036189943552,0.4765263684093952,0
48,1893.8528,3450.0,1836.4001,-1.6697104,0.62052,-1.6331879,120.0,0.10461761802434921,0.011132760206237435,0.016106225550174713,0.47135458141565323,0
49,1893.8528,3400.0,1836.4001,-1.6477268,0.6104057,-1.6187437,120.0,0.11636587977409363,0.012052254052832723,0.01748020516242832,0.465269360691309,0
50,1893.8528,3350.0,1836.4001,-1.626349,0.60025835,-1.6049691,120.0,0.12926367297768593,0.013025551568716764,0.0190152880968526,0.45841264352202415,0
51,1893.8528,3300.0,1836.4001,-1.6057119,0.59012395,-1.5918038,120.0,0.14264598861336708,0.014142743311822414,0.020634318330849055,0.45033540204167366,0
52,1893.8528,3250.0,1836.4001,-1.585817,0.57994866,-1.5794594,120.0,0.15740378573536873,0.015315633034333587,0.022446264600148425,0.4412677027285099,0
53,1893.8528,3200.0,1836.4001,-1.5668216,0.5697907,-1.5678651,120.0,0.1726207695901394,0.016666035749949515,0.02434879220527364,0.43060837499797344,0
54,1893.8528,3150.0,1836.4001,-1.5487424,0.55958223,-1.5572829,120.0,0.18951307982206345,0.018073933897539973,0.026488683884963393,0.4187545385211706,0
55,1893.8528,3100.0,1836.4001,-1.5317546,0.54939675,-1.5476209,120.0,0.20680078864097595,0.019708565625478514,0.02872819354524836,0.4049313962459564,0
56,1893.8528,3050.0,1836.4001,-1.5159097,0.5391488,-1.539218,120.0,0.22619636356830597,0.021402833735919558,0.03127058583777398,0.38997284695506096,0
57,1893.8528,3000.0,1836.4001,-1.5013878,0.5289309,-1.5319399,120.0,0.245879874099046,0.023398833494866267,0.03392666205763817,0.37339759059250355,0
58,1893.8528,2950.0,1836.4001,-1.4883156,0.5186356,-1.5262511,120.0,0.2683531935326755,0.025457245181314647,0.03698543575592339,0.35792820155620575,0
59,1893.8528,2900.0,1836.4001,-1.4768482,0.5083792,-1.5219353,120.0,0.2909721788018942,0.027936483616940677,0.040178786497563124,0.3481885511428118,0
60,1893.8528,2850.0,1836.4001,-1.4672675,0.49802607,-1.5196735,120.0,0.3174956659786403,0.030477559426799417,0.04393416177481413,0.34824176877737045,0
61,1893.8528,2800.0,1836.4001,-1.4596475,0.48772338,-1.5190963,120.0,0.34395606722682714,0.0336294393055141,0.047859403770416975,0.35510043893009424,0
62,1893.8528,2750.0,1836.4001,-1.4545738,0.47729793,-1.5212647,120.0,0.37640835205093026,0.0368398604914546,0.05258844420313835,0.3792983340099454,0
63,1893.8528,2700.0,1836.4001,-1.4519068,0.466938,-1.5255047,120.0,0.4087265357375145,0.041005310136824846,0.057502064388245344,0.40537809394299984,0
64,1893.8528,2650.0,1836.4001,-1.4528512,0.45641932,-1.5335921,120.0,0.4500146768987179,0.045133696403354406,0.06370559753850102,0.445605693385005,0
65,1893.8528,2600.0,1836.4001,-1.4569244,0.44598648,-1.5443865,120.0,0.49022121727466583,0.05070932349190116,0.07024346641264856,0.4883737117052078,0
66,1893.8528,2550.0,1836.4001,-1.4663849,0.4353417,-1.5608449,120.0,0.5494967810809612,0.056324305187445134,0.0784221978392452,0.5518709979951382,0
67,1893.8528,2500.0,1836.4001,-1.4795008,0.42481452,-1.5804238,120.0,0.6117976393434219,0.06510627217357978,0.08617398283968214,0.6436456423252821,0
68,1893.8528,2450.0,1836.4001,-1.5014563,0.41399616,-1.6091594,120.0,0.6884960505994968,0.07178401947021484,0.09916724696813617,0.7349121365696192,0
69,1893.8528,2400.0,1836.4001,-1.5315728,0.40333596,-1.6452255,120.0,0.752457570284605,0.08114149834727868,0.11536677333060652,1.061383318156004,0
70,1893.8528,2350.0,1836.4001,-1.5757792,0.39222482,-1.6957647,120.0,0.96696912124753,0.09505149739561602,0.12697673426009715,1.4372407235205173,0
71,1893.8528,2300.0,1836.4001,-1.6181439,0.38142198,-1.743653,120.0,1.3257859302684665,0.13859653286635876,0.11568424594588578,2.0231237299740314,0
72,1893.8528,2250.0,1836.4001,-1.6951799,0.36997637,-1.8266156,120.0,1.3892874820157886,0.11515272967517376,0.18141439463943243,2.4438155815005302,0
73,1893.8528,2200.0,1836.4001,-1.8875315,0.3588339,-2.0196092,120.0,2.249238021671772,0.014627832919359207,0.3959201565012336,9.11118470132351,0
74,1904.2244,2150.0,1825.6433,-1.9897418,0.3495519,-2.1315975,120.0,0.6243152855604421,-0.08605943511065561,0.1817465130588971,3.1590164497029036,0
75,1914.5348,2150.0,1814.8279,-1.7917999,0.35167253,-1.9450282,120.0,-0.6147524817788508,-0.08735879400046542,0.15447354287607595,1.2478318602079526,0
76,1924.7838,2150.0,1803.9542,-1.5661271,0.3548675,-1.7351382,120.0,-0.9961814265698195,-0.07798455841839314,0.15122628316748887,2.12217933149077,0
77,1934.9712,2150.0,1793.0228,-1.3269085,0.3572641,-1.514591,120.0,-1.20039074626402,-0.07215037464629859,0.1427791730966419,2.6777822175063193,0
78,1945.0963,2150.0,1782.0337,-1.084997,0.36020336,-1.2945752,120.0,-1.2528844368935097,-0.06644786149263382,0.13631529011763632,2.8510724247898906,0
79,1955.1592,2150.0,1770.9875,-0.848133,0.36261305,-1.0814099,120.0,-1.2473947522812523,-0.062894350849092,0.1288184147560969,2.86277369200252,0
80,1965.1592,2150.0,1759.8845,-0.6215815,0.36527684,-0.8803134,120.0,-1.1941620438010432,-0.06044525023025926,0.1228256484027952,2.750217293854803,0
81,1975.0962,2150.0,1748.725,-0.40935877,0.36750102,-0.6940934,120.0,-1.1262331223115325,-0.059570458470261656,0.11743283813120797,2.5878406695555896,0
82,1984.9698,2150.0,1737.5094,-0.21369892,0.369809,-0.5248106,120.0,-1.048990119015798,-0.05973686301149428,0.11367935413727537,2.398013206431642,0
83,1994.7798,2150.0,1726.238,-0.036154892,0.37172654,-0.37308574,120.0,-0.9773104330524802,-0.06100931321270764,0.11103624291718006,2.2087583388201892,0
84,2004.5258,2150.0,1714.9113,0.122917466,0.37363008,-0.2391339,120.0,-0.9129851213656366,-0.06302605895325541,0.10989767871797085,2.030884725274518,0
85,2014.2074,2150.0,1703.5295,0.2634996,0.37518504,-0.12231566,120.0,-0.862542976392433,-0.0657487555872649,0.10983597172889858,1.8734092200174928,0
86,2023.8243,2150.0,1692.093,0.3863177,0.376675,-0.021857355,120.0,-0.8252164005534723,-0.06890280684456229,0.11095559410750866,1.739886584226042,0
87,2033.3765,2150.0,1680.6024,0.49220935,0.37785834,0.06349483,120.0,-0.8031613334314898,-0.07243383955210447,0.11289774981560186,1.6314321437384933,0
88,2042.8633,2150.0,1669.0577,0.5824294,0.3789552,0.13494873,120.0,-0.7942702582804486,-0.07612926349975169,0.11564566509332508,1.547634472604841,0
89,2052.2847,2150.0,1657.4596,0.65820855,0.3797876,0.19395335,120.0,-0.7985515287145972,-0.07995499088428915,0.1188961498264689,1.486347849946469,0
90,2061.64,2150.0,1645.8082,0.7209861,0.38052997,0.24182603,120.0,-0.8133116902899928,-0.08376385224983096,0.12259201693814248,1.4457823501434177,0
91,2070.9292,2150.0,1634.104,0.77211624,0.38104844,0.27999163,120.0,-0.8374755897093564,-0.08753443800378591,0.1265137364534894,1.423543392214924,0
92,2080.152,2150.0,1622.3474,0.81302035,0.38148198,0.30969957,120.0,-0.8685663401847705,-0.0911487260600552,0.13061940601619426,1.4172314669704065,0
93,2089.3083,2150.0,1610.5387,0.84498817,0.38172886,0.33220986,120.0,-0.9055804731906392,-0.094611213542521,0.13472550622100243,1.4235140269156545,0
94,2098.3972,2150.0,1598.6785,0.86930853,0.3819019,0.3486109,120.0,-0.9463160877348855,-0.09786213643383235,0.13878898148777807,1.4400355347897857,0
95,2107.419,2150.0,1586.7668,0.8871445,0.38192052,0.35997188,120.0,-0.9895465698209591,-0.100902427919209,0.1427139938723485,1.4648527505923994,0
